trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
TRD-INV1-0001,2026-01-05T20:53:00Z,Coinbase,ETH,BUY,0.292572,4267.19,6.24
TRD-INV1-0002,2026-01-06T01:30:00Z,Coinbase,DOGE,BUY,23925.70,0.197666,23.65
TRD-INV1-0003,2026-01-06T09:39:00Z,Binance,BTC,BUY,0.02430487,114651.40,2.79
,2026-01-06T12:54:00Z,Coinbase,DOGE,SELL,9822.92,0.236319,11.61
TRD-INV1-0005,2026-01-06T16:09:00Z,Binance,CKB,BUY,336838,0.00713356,2.40
TRD-INV1-0006,2026-01-06T19:32:00Z,Coinbase,ETH,BUY,1.156000,4212.48,24.35
TRD-INV1-0007,2026-01-06T23:26:00Z,Coinbase,CKB,SELL,204182,0.00614652,6.28
TRD-INV1-0008,2026-01-07T05:18:00Z,Coinbase,DOGE,SELL,9610.01,0.233066,11.20
TRD-INV1-0009,2026-01-07T15:05:00Z,Coinbase,CKB,BUY,449604,0.00728263,16.37
TRD-INV1-0010,2026-01-07T23:04:00Z,Binance,CKB,BUY,591149,0.00764348,4.52
TRD-INV1-0011,2026-01-08T02:07:00Z,Binance,BTC,SELL,0.01511419,98814.05,1.49
TRD-INV1-0012,2026-01-08T09:23:00Z,Coinbase,ETH,BUY,1.495598,3769.40,28.19
TRD-INV1-0012,2026-01-08T21:08:00Z,Binance,SOL,BUY,21.1294,251.333,5.31
TRD-INV1-0014,2026-01-09T07:26:00Z,Binance,SOL,SELL,6.5801,200.959,1.32
TRD-INV1-0015,2026-01-09T16:10:00Z,Binance,DOGE,BUY,25017.72,0.217115,5.43
TRD-INV1-0016,2026-01-10T00:52:00Z,Binance,CKB,BUY,357365,0.00590785,2.11
TRD-INV1-0017,2026-01-10T07:27:00Z,Coinbase,CKB,SELL,514926,0.00655177,16.87
TRD-INV1-0018,2026-01-10T11:52:00Z,Coinbase,CKB,SELL,474519,0.00814499,19.32
TRD-INV1-0019,2026-01-10T19:52:00Z,Binance,DOGE,BUY,8665.24,0.212852,1.84
TRD-INV1-0020,2026-01-11T03:58:00Z,Binance,CKB,BUY,236012,0.00872770,2.06
TRD-INV1-0021,2026-01-11T14:58:00Z,Coinbase,BTC,BUY,0.01320711,99303.32,6.56
TRD-INV1-0022,2026-01-11T22:35:00Z,Binance,CKB,SELL,419547,0.00818469,3.43
TRD-INV1-0023,2026-01-20 14:30:00,Binance,ETH,BUY,1.250291,3678.38,4.60
TRD-INV1-0024,2026-01-12T13:01:00Z,Coinbase,DOGE,SELL,14282.94,0.204544,14.61
TRD-INV1-0025,2026-01-12T21:41:00Z,Coinbase,DOGE,BUY,24622.31,0.279413,34.40
TRD-INV1-0026,2026-01-13T02:42:00Z,Binance,SOL,SELL,6.6956,211.746,1.42
TRD-INV1-0027,2026-01-13T14:12:00Z,Coinbase,BTC,SELL,0.01001734,103678.12,5.19
TRD-INV1-0028,2026-01-14T01:12:00Z,Binance,CKB,BUY,566189,0.00873830,4.95
TRD-INV1-0029,2026-01-14T12:41:00Z,Coinbase,BTC,BUY,0.02124878,115938.41,12.32
TRD-INV1-0030,2026-01-14T17:47:00Z,Coinbase,DOGE,BUY,23686.02,0.229892,27.23
TRD-INV1-0031,2026-01-15T04:29:00Z,Binance,DOGE,SELL,24033.81,0.249231,5.99
TRD-INV1-0032,2026-01-15T09:01:00Z,Coinbase,DOGE,SELL,25024.40,0.265380,33.20
TRD-INV1-0033,2026-01-15T12:26:00Z,Coinbase,DOGE,BUY,22123.99,0.195988,21.68
TRD-INV1-0034,2026-01-15T16:06:00Z,Binance,SOL,SELL,5.1428,228.982,1.18
TRD-INV1-0035,2026-01-15T22:58:00Z,Coinbase,ETH,BUY,1.324637,4113.45,27.24
TRD-INV1-0036,2026-01-16T04:50:00Z,Kraken,ETH,SELL,0.781231,3614.10,2.82
TRD-INV1-0037,2026-01-16T16:16:00Z,Binance,ETH,BUY,1.542887,3368.89,5.20
TRD-INV1-0038,2026-01-17T00:42:00Z,Binance,SOL,BUY,15.2520,199.313,3.04
TRD-INV1-0039,2026-01-17T11:36:00Z,Binance,CKB,SELL,478101,0.00601293,2.87
TRD-INV1-0040,2026-01-17T22:23:00Z,Binance,SOL,SELL,12.5643,250.928,3.15
TRD-INV1-0041,2026-01-18T08:30:00Z,Coinbase,DOGE,SELL,26508.74,0.243510,32.28
TRD-INV1-0042,2026-01-18T13:22:00Z,Coinbase,CKB,SELL,285122,0.00739047,10.54
